sku_code,gender,category,product,fabric_type,composition,gsm_range,garment_weight_kg,accessory_profile,process_profile,fabric_co2_factor_kg_per_kg,accessory_co2_kg,process_co2_kg,estimated_total_co2_kg,data_source
ZD-SYN-00148,Men,Activewear,Performance Tee,Interlock,88% Polyester / 12% Elastane,180-240,0.176,Label Set,Dyed Knit Route,6.2,0.03,2.35,3.471,synthetic_v1
ZD-SYN-00149,Men,Outerwear,Hoodie,Rib Knit,97% Cotton / 3% Elastane,180-260,0.655,Label + Drawcord,Performance Route,5.0,0.08,2.75,6.105,synthetic_v1
ZD-SYN-00150,Men,Bottom,Shorts,Single Jersey,100% Cotton,140-180,0.248,Label + Drawcord,Performance Route,4.65,0.08,2.75,3.983,synthetic_v1
ZD-SYN-00151,Men,Outerwear,Zip Hoodie,Pique Knit,95% Cotton / 5% Elastane,180-220,0.576,Label + Drawcord,Performance Route,5.1,0.08,2.75,5.768,synthetic_v1
ZD-SYN-00152,Women,Activewear,Performance Tee,Interlock,88% Polyester / 12% Elastane,180-240,0.184,Label + Hangtag,Standard Knit Route,6.2,0.05,1.95,3.141,synthetic_v1
ZD-SYN-00153,Unisex,Activewear,Active Legging,Fleece,70% Cotton / 30% Polyester,240-320,0.318,Label + Button Set,Dyed Knit Route,5.8,0.07,2.35,4.264,synthetic_v1
ZD-SYN-00154,Women,Bottom,Sweatpant,Single Jersey,100% Cotton,140-180,0.494,Label + Hangtag,Dyed Knit Route,4.65,0.05,2.35,4.697,synthetic_v1
ZD-SYN-00155,Men,Activewear,Active Legging,French Terry,80% Cotton / 20% Polyester,220-300,0.201,Label + Drawcord,Dyed Knit Route,5.55,0.08,2.35,3.546,synthetic_v1
ZD-SYN-00156,Unisex,Top,Long Sleeve Tee,Fleece,70% Cotton / 30% Polyester,240-320,0.261,Label + Button Set,Standard Knit Route,5.8,0.07,1.95,3.534,synthetic_v1
ZD-SYN-00157,Unisex,Activewear,Training Top,Pique Knit,95% Cotton / 5% Elastane,180-220,0.251,Label + Button Set,Performance Route,5.1,0.07,2.75,4.1,synthetic_v1
ZD-SYN-00158,Unisex,Bottom,Jogger,French Terry,80% Cotton / 20% Polyester,220-300,0.508,Label Set,Dyed Knit Route,5.55,0.03,2.35,5.199,synthetic_v1
ZD-SYN-00159,Women,Top,Long Sleeve Tee,French Terry,80% Cotton / 20% Polyester,220-300,0.291,Label + Hangtag,Standard Knit Route,5.55,0.05,1.95,3.615,synthetic_v1
ZD-SYN-00160,Men,Activewear,Gym Short,Pique Knit,95% Cotton / 5% Elastane,180-220,0.248,Label + Hangtag,Performance Route,5.1,0.05,2.75,4.065,synthetic_v1
ZD-SYN-00161,Men,Activewear,Active Legging,Interlock,88% Polyester / 12% Elastane,180-240,0.305,Label + Drawcord,Dyed Knit Route,6.2,0.08,2.35,4.321,synthetic_v1
ZD-SYN-00162,Women,Activewear,Performance Tee,Single Jersey,100% Cotton,140-180,0.226,Label + Hangtag,Standard Knit Route,4.65,0.05,1.95,3.051,synthetic_v1
ZD-SYN-00163,Women,Outerwear,Zip Hoodie,Single Jersey,100% Cotton,140-180,0.579,Label + Drawcord,Standard Knit Route,4.65,0.08,1.95,4.722,synthetic_v1
ZD-SYN-00164,Women,Top,Tank Top,French Terry,80% Cotton / 20% Polyester,220-300,0.13,Label + Button Set,Performance Route,5.55,0.07,2.75,3.542,synthetic_v1
ZD-SYN-00165,Unisex,Activewear,Performance Tee,Pique Knit,95% Cotton / 5% Elastane,180-220,0.202,Label + Drawcord,Standard Knit Route,5.1,0.08,1.95,3.06,synthetic_v1
ZD-SYN-00166,Unisex,Activewear,Training Top,Single Jersey,100% Cotton,140-180,0.196,Label + Drawcord,Performance Route,4.65,0.08,2.75,3.741,synthetic_v1
ZD-SYN-00167,Men,Outerwear,Hoodie,Single Jersey,100% Cotton,140-180,0.749,Label Set,Dyed Knit Route,4.65,0.03,2.35,5.863,synthetic_v1
ZD-SYN-00168,Men,Top,Basic T-Shirt,Rib Knit,97% Cotton / 3% Elastane,180-260,0.196,Label + Hangtag,Dyed Knit Route,5.0,0.05,2.35,3.38,synthetic_v1
ZD-SYN-00169,Unisex,Outerwear,Zip Hoodie,French Terry,80% Cotton / 20% Polyester,220-300,0.696,Label + Hangtag,Dyed Knit Route,5.55,0.05,2.35,6.263,synthetic_v1
ZD-SYN-00170,Women,Outerwear,Zip Hoodie,Interlock,88% Polyester / 12% Elastane,180-240,0.611,Label Set,Performance Route,6.2,0.03,2.75,6.568,synthetic_v1
ZD-SYN-00171,Men,Outerwear,Sweatshirt,Interlock,88% Polyester / 12% Elastane,180-240,0.51,Label Set,Performance Route,6.2,0.03,2.75,5.942,synthetic_v1
ZD-SYN-00172,Women,Activewear,Performance Tee,Interlock,88% Polyester / 12% Elastane,180-240,0.235,Label + Hangtag,Standard Knit Route,6.2,0.05,1.95,3.457,synthetic_v1
ZD-SYN-00173,Unisex,Outerwear,Hoodie,Pique Knit,95% Cotton / 5% Elastane,180-220,0.686,Label Set,Standard Knit Route,5.1,0.03,1.95,5.479,synthetic_v1
ZD-SYN-00174,Unisex,Bottom,Shorts,Pique Knit,95% Cotton / 5% Elastane,180-220,0.201,Label Set,Performance Route,5.1,0.03,2.75,3.805,synthetic_v1
ZD-SYN-00175,Women,Bottom,Shorts,Pique Knit,95% Cotton / 5% Elastane,180-220,0.266,Label Set,Dyed Knit Route,5.1,0.03,2.35,3.737,synthetic_v1
ZD-SYN-00176,Unisex,Bottom,Shorts,Interlock,88% Polyester / 12% Elastane,180-240,0.246,Label + Hangtag,Standard Knit Route,6.2,0.05,1.95,3.525,synthetic_v1
ZD-SYN-00177,Men,Top,Fashion Tee,Interlock,88% Polyester / 12% Elastane,180-240,0.166,Label + Hangtag,Performance Route,6.2,0.05,2.75,3.829,synthetic_v1
ZD-SYN-00178,Men,Bottom,Legging,Pique Knit,95% Cotton / 5% Elastane,180-220,0.214,Label + Drawcord,Performance Route,5.1,0.08,2.75,3.921,synthetic_v1
ZD-SYN-00179,Women,Top,Tank Top,Interlock,88% Polyester / 12% Elastane,180-240,0.14,Label Set,Dyed Knit Route,6.2,0.03,2.35,3.248,synthetic_v1
ZD-SYN-00180,Women,Top,Long Sleeve Tee,Fleece,70% Cotton / 30% Polyester,240-320,0.3,Label Set,Standard Knit Route,5.8,0.03,1.95,3.72,synthetic_v1
ZD-SYN-00181,Unisex,Outerwear,Sweatshirt,Single Jersey,100% Cotton,140-180,0.673,Label + Drawcord,Performance Route,4.65,0.08,2.75,5.959,synthetic_v1
ZD-SYN-00182,Women,Top,Basic T-Shirt,Rib Knit,97% Cotton / 3% Elastane,180-260,0.17,Label + Hangtag,Standard Knit Route,5.0,0.05,1.95,2.85,synthetic_v1
ZD-SYN-00183,Unisex,Activewear,Gym Short,Rib Knit,97% Cotton / 3% Elastane,180-260,0.211,Label + Button Set,Dyed Knit Route,5.0,0.07,2.35,3.475,synthetic_v1
ZD-SYN-00184,Unisex,Outerwear,Hoodie,Single Jersey,100% Cotton,140-180,0.585,Label + Hangtag,Dyed Knit Route,4.65,0.05,2.35,5.12,synthetic_v1
ZD-SYN-00185,Women,Bottom,Sweatpant,Fleece,70% Cotton / 30% Polyester,240-320,0.526,Label + Drawcord,Dyed Knit Route,5.8,0.08,2.35,5.481,synthetic_v1
ZD-SYN-00186,Women,Activewear,Gym Short,French Terry,80% Cotton / 20% Polyester,220-300,0.255,Label + Button Set,Dyed Knit Route,5.55,0.07,2.35,3.835,synthetic_v1
ZD-SYN-00187,Men,Outerwear,Hoodie,Single Jersey,100% Cotton,140-180,0.479,Label Set,Dyed Knit Route,4.65,0.03,2.35,4.607,synthetic_v1
ZD-SYN-00188,Unisex,Activewear,Training Top,Single Jersey,100% Cotton,140-180,0.175,Label + Button Set,Performance Route,4.65,0.07,2.75,3.634,synthetic_v1
ZD-SYN-00189,Unisex,Activewear,Gym Short,Single Jersey,100% Cotton,140-180,0.191,Label + Button Set,Performance Route,4.65,0.07,2.75,3.708,synthetic_v1
ZD-SYN-00190,Unisex,Top,Long Sleeve Tee,Pique Knit,95% Cotton / 5% Elastane,180-220,0.248,Label + Hangtag,Performance Route,5.1,0.05,2.75,4.065,synthetic_v1
ZD-SYN-00191,Unisex,Top,Polo Shirt,Interlock,88% Polyester / 12% Elastane,180-240,0.277,Label Set,Dyed Knit Route,6.2,0.03,2.35,4.097,synthetic_v1
ZD-SYN-00192,Unisex,Outerwear,Zip Hoodie,Rib Knit,97% Cotton / 3% Elastane,180-260,0.779,Label Set,Performance Route,5.0,0.03,2.75,6.675,synthetic_v1
ZD-SYN-00193,Men,Activewear,Performance Tee,Interlock,88% Polyester / 12% Elastane,180-240,0.175,Label + Button Set,Dyed Knit Route,6.2,0.07,2.35,3.505,synthetic_v1
ZD-SYN-00194,Unisex,Bottom,Shorts,French Terry,80% Cotton / 20% Polyester,220-300,0.194,Label + Drawcord,Standard Knit Route,5.55,0.08,1.95,3.107,synthetic_v1
ZD-SYN-00195,Unisex,Top,Basic T-Shirt,Rib Knit,97% Cotton / 3% Elastane,180-260,0.194,Label + Hangtag,Dyed Knit Route,5.0,0.05,2.35,3.37,synthetic_v1
ZD-SYN-00196,Women,Activewear,Training Top,Interlock,88% Polyester / 12% Elastane,180-240,0.232,Label + Button Set,Performance Route,6.2,0.07,2.75,4.258,synthetic_v1
ZD-SYN-00197,Men,Top,Fashion Tee,Rib Knit,97% Cotton / 3% Elastane,180-260,0.147,Label Set,Performance Route,5.0,0.03,2.75,3.515,synthetic_v1
ZD-SYN-00198,Women,Outerwear,Zip Hoodie,Fleece,70% Cotton / 30% Polyester,240-320,0.582,Label + Drawcord,Dyed Knit Route,5.8,0.08,2.35,5.806,synthetic_v1
ZD-SYN-00199,Women,Top,Polo Shirt,Single Jersey,100% Cotton,140-180,0.288,Label + Button Set,Performance Route,4.65,0.07,2.75,4.159,synthetic_v1
ZD-SYN-00200,Unisex,Outerwear,Zip Hoodie,Interlock,88% Polyester / 12% Elastane,180-240,0.619,Label Set,Standard Knit Route,6.2,0.03,1.95,5.818,synthetic_v1
ZD-SYN-00201,Men,Top,Basic T-Shirt,Interlock,88% Polyester / 12% Elastane,180-240,0.221,Label + Hangtag,Standard Knit Route,6.2,0.05,1.95,3.37,synthetic_v1
ZD-SYN-00202,Men,Activewear,Active Legging,Single Jersey,100% Cotton,140-180,0.26,Label + Drawcord,Performance Route,4.65,0.08,2.75,4.039,synthetic_v1
ZD-SYN-00203,Unisex,Bottom,Sweatpant,French Terry,80% Cotton / 20% Polyester,220-300,0.492,Label + Hangtag,Performance Route,5.55,0.05,2.75,5.531,synthetic_v1
ZD-SYN-00204,Women,Activewear,Performance Tee,French Terry,80% Cotton / 20% Polyester,220-300,0.142,Label Set,Dyed Knit Route,5.55,0.03,2.35,3.168,synthetic_v1
ZD-SYN-00205,Unisex,Top,Polo Shirt,Fleece,70% Cotton / 30% Polyester,240-320,0.284,Label + Drawcord,Performance Route,5.8,0.08,2.75,4.477,synthetic_v1
ZD-SYN-00206,Women,Activewear,Performance Tee,Single Jersey,100% Cotton,140-180,0.22,Label + Button Set,Standard Knit Route,4.65,0.07,1.95,3.043,synthetic_v1
ZD-SYN-00207,Women,Outerwear,Zip Hoodie,Single Jersey,100% Cotton,140-180,0.573,Label + Drawcord,Standard Knit Route,4.65,0.08,1.95,4.694,synthetic_v1
ZD-SYN-00208,Men,Outerwear,Zip Hoodie,Fleece,70% Cotton / 30% Polyester,240-320,0.602,Label + Button Set,Performance Route,5.8,0.07,2.75,6.312,synthetic_v1
ZD-SYN-00209,Men,Activewear,Training Top,Rib Knit,97% Cotton / 3% Elastane,180-260,0.221,Label Set,Performance Route,5.0,0.03,2.75,3.885,synthetic_v1
ZD-SYN-00210,Unisex,Activewear,Active Legging,French Terry,80% Cotton / 20% Polyester,220-300,0.214,Label + Hangtag,Standard Knit Route,5.55,0.05,1.95,3.188,synthetic_v1
ZD-SYN-00211,Men,Activewear,Training Top,Rib Knit,97% Cotton / 3% Elastane,180-260,0.169,Label + Hangtag,Performance Route,5.0,0.05,2.75,3.645,synthetic_v1
ZD-SYN-00212,Unisex,Outerwear,Sweatshirt,Rib Knit,97% Cotton / 3% Elastane,180-260,0.677,Label + Drawcord,Performance Route,5.0,0.08,2.75,6.215,synthetic_v1
ZD-SYN-00213,Men,Activewear,Active Legging,Fleece,70% Cotton / 30% Polyester,240-320,0.262,Label Set,Dyed Knit Route,5.8,0.03,2.35,3.9,synthetic_v1
ZD-SYN-00214,Unisex,Activewear,Active Legging,Single Jersey,100% Cotton,140-180,0.21,Label + Button Set,Performance Route,4.65,0.07,2.75,3.797,synthetic_v1
ZD-SYN-00215,Men,Outerwear,Sweatshirt,Single Jersey,100% Cotton,140-180,0.423,Label + Button Set,Dyed Knit Route,4.65,0.07,2.35,4.387,synthetic_v1
ZD-SYN-00216,Unisex,Top,Long Sleeve Tee,Rib Knit,97% Cotton / 3% Elastane,180-260,0.258,Label + Drawcord,Dyed Knit Route,5.0,0.08,2.35,3.72,synthetic_v1
ZD-SYN-00217,Unisex,Top,Tank Top,French Terry,80% Cotton / 20% Polyester,220-300,0.148,Label + Hangtag,Dyed Knit Route,5.55,0.05,2.35,3.221,synthetic_v1
ZD-SYN-00218,Women,Bottom,Jogger,Single Jersey,100% Cotton,140-180,0.367,Label + Button Set,Performance Route,4.65,0.07,2.75,4.527,synthetic_v1
ZD-SYN-00219,Men,Bottom,Jogger,French Terry,80% Cotton / 20% Polyester,220-300,0.455,Label + Drawcord,Dyed Knit Route,5.55,0.08,2.35,4.955,synthetic_v1
ZD-SYN-00220,Women,Bottom,Legging,Interlock,88% Polyester / 12% Elastane,180-240,0.293,Label + Drawcord,Dyed Knit Route,6.2,0.08,2.35,4.247,synthetic_v1
ZD-SYN-00221,Men,Top,Polo Shirt,Interlock,88% Polyester / 12% Elastane,180-240,0.288,Label Set,Performance Route,6.2,0.03,2.75,4.566,synthetic_v1
ZD-SYN-00222,Unisex,Activewear,Active Legging,French Terry,80% Cotton / 20% Polyester,220-300,0.211,Label + Hangtag,Dyed Knit Route,5.55,0.05,2.35,3.571,synthetic_v1
ZD-SYN-00223,Women,Bottom,Legging,French Terry,80% Cotton / 20% Polyester,220-300,0.271,Label + Drawcord,Standard Knit Route,5.55,0.08,1.95,3.534,synthetic_v1
ZD-SYN-00224,Unisex,Top,Polo Shirt,Fleece,70% Cotton / 30% Polyester,240-320,0.287,Label + Button Set,Standard Knit Route,5.8,0.07,1.95,3.685,synthetic_v1
ZD-SYN-00225,Unisex,Top,Tank Top,Interlock,88% Polyester / 12% Elastane,180-240,0.125,Label Set,Dyed Knit Route,6.2,0.03,2.35,3.155,synthetic_v1
ZD-SYN-00226,Women,Bottom,Legging,Pique Knit,95% Cotton / 5% Elastane,180-220,0.219,Label + Hangtag,Standard Knit Route,5.1,0.05,1.95,3.117,synthetic_v1
ZD-SYN-00227,Unisex,Activewear,Performance Tee,Rib Knit,97% Cotton / 3% Elastane,180-260,0.174,Label Set,Performance Route,5.0,0.03,2.75,3.65,synthetic_v1
ZD-SYN-00228,Men,Bottom,Sweatpant,Pique Knit,95% Cotton / 5% Elastane,180-220,0.534,Label + Hangtag,Performance Route,5.1,0.05,2.75,5.523,synthetic_v1
ZD-SYN-00229,Men,Bottom,Sweatpant,Fleece,70% Cotton / 30% Polyester,240-320,0.524,Label + Button Set,Performance Route,5.8,0.07,2.75,5.859,synthetic_v1
ZD-SYN-00230,Women,Outerwear,Zip Hoodie,French Terry,80% Cotton / 20% Polyester,220-300,0.66,Label + Drawcord,Standard Knit Route,5.55,0.08,1.95,5.693,synthetic_v1
ZD-SYN-00231,Men,Activewear,Gym Short,Interlock,88% Polyester / 12% Elastane,180-240,0.237,Label + Drawcord,Dyed Knit Route,6.2,0.08,2.35,3.899,synthetic_v1
ZD-SYN-00232,Unisex,Outerwear,Zip Hoodie,Fleece,70% Cotton / 30% Polyester,240-320,0.74,Label + Hangtag,Standard Knit Route,5.8,0.05,1.95,6.292,synthetic_v1
ZD-SYN-00233,Men,Bottom,Legging,French Terry,80% Cotton / 20% Polyester,220-300,0.267,Label + Drawcord,Dyed Knit Route,5.55,0.08,2.35,3.912,synthetic_v1
ZD-SYN-00234,Men,Top,Long Sleeve Tee,Interlock,88% Polyester / 12% Elastane,180-240,0.227,Label Set,Standard Knit Route,6.2,0.03,1.95,3.387,synthetic_v1
ZD-SYN-00235,Men,Bottom,Sweatpant,Pique Knit,95% Cotton / 5% Elastane,180-220,0.566,Label + Drawcord,Dyed Knit Route,5.1,0.08,2.35,5.317,synthetic_v1
ZD-SYN-00236,Women,Outerwear,Hoodie,Rib Knit,97% Cotton / 3% Elastane,180-260,0.566,Label + Button Set,Standard Knit Route,5.0,0.07,1.95,4.85,synthetic_v1
ZD-SYN-00237,Men,Top,Polo Shirt,Single Jersey,100% Cotton,140-180,0.304,Label + Button Set,Standard Knit Route,4.65,0.07,1.95,3.434,synthetic_v1
ZD-SYN-00238,Men,Activewear,Training Top,Single Jersey,100% Cotton,140-180,0.244,Label + Button Set,Dyed Knit Route,4.65,0.07,2.35,3.555,synthetic_v1
ZD-SYN-00239,Women,Bottom,Sweatpant,Rib Knit,97% Cotton / 3% Elastane,180-260,0.384,Label Set,Standard Knit Route,5.0,0.03,1.95,3.9,synthetic_v1
ZD-SYN-00240,Unisex,Bottom,Shorts,French Terry,80% Cotton / 20% Polyester,220-300,0.258,Label + Drawcord,Standard Knit Route,5.55,0.08,1.95,3.462,synthetic_v1
ZD-SYN-00241,Men,Bottom,Legging,Single Jersey,100% Cotton,140-180,0.277,Label + Hangtag,Dyed Knit Route,4.65,0.05,2.35,3.688,synthetic_v1
ZD-SYN-00242,Men,Outerwear,Hoodie,Fleece,70% Cotton / 30% Polyester,240-320,0.605,Label Set,Performance Route,5.8,0.03,2.75,6.289,synthetic_v1
ZD-SYN-00243,Women,Bottom,Shorts,Fleece,70% Cotton / 30% Polyester,240-320,0.215,Label Set,Performance Route,5.8,0.03,2.75,4.027,synthetic_v1
ZD-SYN-00244,Unisex,Outerwear,Hoodie,French Terry,80% Cotton / 20% Polyester,220-300,0.742,Label Set,Performance Route,5.55,0.03,2.75,6.898,synthetic_v1
ZD-SYN-00245,Unisex,Top,Long Sleeve Tee,Rib Knit,97% Cotton / 3% Elastane,180-260,0.287,Label Set,Dyed Knit Route,5.0,0.03,2.35,3.815,synthetic_v1
ZD-SYN-00246,Women,Top,Tank Top,Interlock,88% Polyester / 12% Elastane,180-240,0.163,Label Set,Dyed Knit Route,6.2,0.03,2.35,3.391,synthetic_v1
ZD-SYN-00247,Unisex,Activewear,Training Top,French Terry,80% Cotton / 20% Polyester,220-300,0.248,Label Set,Performance Route,5.55,0.03,2.75,4.156,synthetic_v1
ZD-SYN-00248,Men,Activewear,Training Top,Interlock,88% Polyester / 12% Elastane,180-240,0.181,Label + Button Set,Performance Route,6.2,0.07,2.75,3.942,synthetic_v1
ZD-SYN-00249,Women,Outerwear,Zip Hoodie,French Terry,80% Cotton / 20% Polyester,220-300,0.519,Label + Hangtag,Standard Knit Route,5.55,0.05,1.95,4.88,synthetic_v1
ZD-SYN-00250,Women,Outerwear,Hoodie,Pique Knit,95% Cotton / 5% Elastane,180-220,0.716,Label Set,Standard Knit Route,5.1,0.03,1.95,5.632,synthetic_v1
